municipality,vintage,entity_type,modified_local_assessed_value,equalized_valuation_incl_util_rr,local_total_rate,equalization_ratio,full_value_rate_official,rank,source
Alstead,2023,town,194344850.0,294890764.0,25.43,65.9,16.69,170,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Alstead,2024,town,195339243.0,332574084.0,26.98,58.7,15.76,156,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Alton,2019,town,1752952350.0,1983379465.0,12.51,88.4,11.03,23,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Alton,2020,town,1771844610.0,2196157030.0,13.95,80.7,11.23,26,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Alton,2021,town,2183117632.0,2630566834.0,11.38,83.0,9.42,30,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Alton,2022,town,2179457249.0,3509643444.0,11.37,62.1,7.05,20,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Alton,2023,town,2189126416.0,3761895340.0,13.18,58.2,7.66,21,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Alton,2024,town,2242305615.0,3948472073.0,12.98,56.8,7.36,23,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Amherst,2019,town,1747592420.0,2070803455.0,26.96,84.4,22.57,150,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Amherst,2020,town,1755942400.0,2243454723.0,28.48,78.3,22.12,162,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Amherst,2021,town,2344377637.0,2546288153.0,21.31,92.1,19.5,183,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Amherst,2022,town,2376545797.0,3064881523.0,21.13,77.6,16.28,165,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Amherst,2023,town,2405935096.0,3231889974.0,21.88,74.5,16.16,157,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Amherst,2024,town,2431905276.0,3501616483.0,22.93,69.5,15.8,157,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Andover,2019,town,304208590.0,311035725.0,21.64,97.8,20.95,122,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Andover,2020,town,310402562.0,332294216.0,21.34,93.4,19.71,115,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Andover,2021,town,319322249.0,398479178.0,20.91,80.1,16.54,116,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Andover,2022,town,323914649.0,513042230.0,21.19,63.1,13.23,87,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Andover,2023,town,320403156.0,520115266.0,22.95,61.6,13.97,101,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Andover,2024,town,572729323.0,567078768.0,14.64,101.0,14.69,125,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Antrim,2019,town,249335950.0,284199452.0,26.97,89.4,23.52,166,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Antrim,2020,town,255797694.0,306479726.0,28.55,85.4,23.64,186,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Antrim,2021,town,264340911.0,382434078.0,26.07,70.8,17.85,152,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Antrim,2022,town,268552468.0,451787666.0,27.86,62.5,17.28,188,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Antrim,2023,town,434663720.0,496273387.0,18.74,91.9,17.1,180,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Antrim,2024,town,439025696.0,567112999.0,20.79,80.8,16.7,173,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Ashland,2019,town,247207364.0,259646463.0,27.95,96.0,26.53,198,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Ashland,2020,town,251341136.0,303422430.0,28.43,83.5,23.47,183,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Ashland,2021,town,254497678.0,387010889.0,27.47,65.9,18.0,157,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Ashland,2022,town,258235052.0,459603182.0,27.87,56.3,15.65,145,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Ashland,2023,town,442367158.0,454611880.0,17.3,97.5,16.78,173,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Ashland,2024,town,455151865.0,555767560.0,18.39,82.0,14.99,131,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson,2019,town,1004519575.0,1198704778.0,17.67,83.8,14.69,49,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson,2020,town,1024433933.0,1283747565.0,18.34,79.8,14.53,52,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson,2021,town,1549726443.0,1557517007.0,12.36,99.5,12.25,57,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson,2022,town,1575249636.0,1794119025.0,12.27,87.8,10.71,55,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson,2023,town,1595274109.0,1912795116.0,14.5,83.4,12.01,71,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson,2024,town,1609208023.0,2001497850.0,12.92,80.4,10.31,51,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson & Gilmanton,2019,unincorporated,818373.0,905340.0,0.0,86.5,0.0,N/A,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson & Gilmanton,2020,unincorporated,774325.0,891498.0,0.0,87.1,0.0,N/A,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson & Gilmanton,2021,unincorporated,846943.0,996035.0,0.0,83.4,0.0,N/A,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson & Gilmanton,2022,unincorporated,785376.0,1036200.0,0.0,71.3,0.0,N/A,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson & Gilmanton,2023,unincorporated,1005072.0,971216.0,0.0,105.7,0.0,N/A,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Atkinson & Gilmanton,2024,unincorporated,1035360.0,1425000.0,0.0,60.4,0.0,N/A,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Auburn,2019,town,863385428.0,954081692.0,18.81,92.2,16.93,64,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Auburn,2020,town,877468477.0,987108409.0,18.48,90.6,16.35,66,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Auburn,2021,town,888674630.0,1193449445.0,18.14,75.9,13.45,67,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Auburn,2022,town,896588208.0,1429251100.0,17.85,64.0,11.38,66,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Auburn,2023,town,1409990003.0,1471801013.0,12.61,97.6,12.27,73,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Auburn,2024,town,1433323607.0,1578041137.0,13.47,92.4,12.4,78,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Barnstead,2019,town,601557018.0,629786763.0,22.83,95.5,21.72,134,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Barnstead,2020,town,607636452.0,699868002.0,23.1,86.8,19.97,119,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Barnstead,2021,town,618566330.0,825578027.0,21.96,74.9,16.38,113,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Barnstead,2022,town,626034999.0,1067813024.0,21.6,58.6,12.62,78,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Barnstead,2023,town,1072224438.0,1101927132.0,14.35,97.3,13.93,99,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Barnstead,2024,town,1082374713.0,1209196428.0,16.31,89.5,14.56,121,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Barrington,2019,town,1150530325.0,1189359362.0,22.67,96.8,21.68,131,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Barrington,2020,town,1167857521.0,1295324811.0,22.77,90.2,20.32,127,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Barrington,2021,town,1402245160.0,1528161686.0,19.5,91.8,17.72,147,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Barrington,2022,town,1427275239.0,1791481649.0,19.85,79.7,15.67,146,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Barrington,2023,town,1854563652.0,1957092601.0,16.69,94.8,15.69,143,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Barrington,2024,town,1886546518.0,2169228848.0,17.59,87.0,15.15,140,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bartlett,2019,town,1065028740.0,1249472584.0,9.34,85.3,7.94,13,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bartlett,2020,town,1074317313.0,1421968200.0,9.66,75.6,7.28,11,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bartlett,2021,town,1082827567.0,1758884640.0,9.53,61.6,5.85,12,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bartlett,2022,town,2038499540.0,2039435437.0,4.97,100.0,4.96,11,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bartlett,2023,town,2062420138.0,2279894958.0,5.16,90.5,4.66,9,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bartlett,2024,town,2087845542.0,2451485086.0,5.58,85.2,4.74,10,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bath,2019,town,125214976.0,140835195.0,21.4,95.0,18.72,90,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bath,2020,town,125231843.0,153086903.0,22.86,87.2,18.46,95,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bath,2021,town,149327704.0,168535971.0,20.08,93.2,17.56,142,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bath,2022,town,151904825.0,211442797.0,20.1,74.1,14.79,128,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bath,2023,town,150124412.0,198858268.0,23.0,77.9,17.73,192,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bath,2024,town,155121479.0,253390885.0,23.43,64.7,15.02,134,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Grant,2019,unincorporated,0.0,0.0,0.0,86.5,0.0,N/A,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Grant,2020,unincorporated,0.0,0.0,0.0,87.1,0.0,N/A,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Grant,2021,unincorporated,0.0,0.0,0.0,83.4,0.0,N/A,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Grant,2022,unincorporated,0.0,0.0,0.0,71.3,0.0,N/A,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Grant,2023,unincorporated,0.0,0.0,0.0,105.7,0.0,N/A,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Grant,2024,unincorporated,0.0,0.0,0.0,60.4,0.0,N/A,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Purchase,2019,unincorporated,0.0,0.0,0.0,86.5,0.0,N/A,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Purchase,2020,unincorporated,0.0,0.0,0.0,87.1,0.0,N/A,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Purchase,2021,unincorporated,0.0,0.0,0.0,83.4,0.0,N/A,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Purchase,2022,unincorporated,0.0,0.0,0.0,71.3,0.0,N/A,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Purchase,2023,unincorporated,0.0,0.0,0.0,105.7,0.0,N/A,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bean's Purchase,2024,unincorporated,0.0,0.0,0.0,60.4,0.0,N/A,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bedford,2019,town,4095806840.0,4325031946.0,18.95,94.7,17.72,74,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bedford,2020,town,4144261927.0,4574245728.0,20.02,90.6,17.88,84,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bedford,2021,town,4837230876.0,5374110890.0,17.14,90.1,15.17,84,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bedford,2022,town,4881327925.0,6169237848.0,17.6,79.2,13.73,96,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bedford,2023,town,6205119702.0,6463015704.0,14.8,96.1,14.01,102,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bedford,2024,town,6268838404.0,6962869576.0,15.81,90.1,14.15,111,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Belmont,2019,town,743222782.0,830378752.0,25.01,89.6,22.17,141,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Belmont,2020,town,741699078.0,873587662.0,25.34,85.0,21.28,147,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Belmont,2021,town,747898507.0,1132497557.0,26.67,66.1,17.44,140,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Belmont,2022,town,1135640336.0,1238375745.0,19.11,91.8,17.39,191,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Belmont,2023,town,1309964871.0,1481274504.0,17.47,88.5,15.3,134,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Belmont,2024,town,1502021206.0,1602422804.0,15.74,93.8,14.61,123,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bennington,2019,town,127277077.0,130016520.0,28.93,97.9,28.13,212,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bennington,2020,town,129457639.0,151906410.0,29.39,85.2,24.85,203,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bennington,2021,town,132181723.0,182770144.0,30.34,72.3,21.77,211,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bennington,2022,town,132374697.0,191849775.0,31.65,69.0,21.69,224,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bennington,2023,town,132768031.0,233688487.0,32.15,56.8,18.14,195,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bennington,2024,town,220703344.0,229189988.0,22.47,96.3,21.53,216,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Benton,2019,town,25499534.0,27823571.0,17.67,94.0,16.1,56,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Benton,2020,town,25677989.0,28267135.0,17.9,93.1,16.17,64,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Benton,2021,town,26306646.0,34722800.0,17.26,77.5,12.99,63,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Benton,2022,town,26596316.0,45980001.0,17.05,59.0,10.04,47,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Benton,2023,town,54353895.0,52723651.0,8.36,104.5,8.69,31,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Benton,2024,town,55110197.0,54083205.0,8.37,103.3,8.6,36,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Berlin,2019,city,412225868.0,504908695.0,39.82,89.5,31.77,222,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Berlin,2020,city,480023523.0,556897469.0,35.93,97.4,30.33,224,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Berlin,2021,city,481048675.0,768328755.0,36.54,73.2,22.43,218,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Berlin,2022,city,714833534.0,799172880.0,27.26,100.4,27.09,232,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Berlin,2023,city,732657816.0,905574723.0,26.9,90.4,23.98,226,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Berlin,2024,city,755423894.0,1047509060.0,30.89,76.8,23.42,219,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bethlehem,2019,town,261286660.0,297616229.0,26.73,88.2,23.29,164,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bethlehem,2020,town,278685124.0,358734422.0,25.2,78.0,19.45,111,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bethlehem,2021,town,287026905.0,409335797.0,24.79,70.4,17.26,132,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bethlehem,2022,town,292812597.0,534227142.0,23.89,55.0,13.07,82,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bethlehem,2023,town,518239991.0,586742802.0,15.43,88.6,13.62,91,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bethlehem,2024,town,526352069.0,640423392.0,17.18,82.5,14.09,108,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Boscawen,2019,town,288929864.0,305646694.0,28.12,95.9,26.44,197,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Boscawen,2020,town,295019455.0,330656097.0,26.79,90.6,23.77,187,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Boscawen,2021,town,301060487.0,386372813.0,28.38,78.6,22.0,214,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Boscawen,2022,town,302470473.0,451056422.0,30.97,68.0,20.98,222,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Boscawen,2023,town,517512181.0,524572656.0,19.43,100.9,19.54,210,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Boscawen,2024,town,530426960.0,591239475.0,19.26,91.1,17.48,185,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bow,2019,town,1294517915.0,1318298872.0,26.21,98.2,25.18,186,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bow,2020,town,1293527214.0,1384994273.0,25.58,93.4,23.36,178,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bow,2021,town,1302712470.0,1598425798.0,25.49,81.5,20.32,198,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bow,2022,town,1319902731.0,1996841785.0,26.52,66.1,17.2,186,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bow,2023,town,1329077156.0,2126555630.0,27.81,62.5,17.05,179,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bow,2024,town,2073175398.0,2117663889.0,19.78,97.9,18.24,193,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bradford,2019,town,201269972.0,253020904.0,27.91,79.5,22.1,138,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bradford,2020,town,250018480.0,255906220.0,23.86,97.7,23.23,176,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bradford,2021,town,251235908.0,315397672.0,23.91,79.6,18.98,173,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bradford,2022,town,252836512.0,366774923.0,24.69,68.9,16.97,179,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bradford,2023,town,255951438.0,341392993.0,27.8,75.0,20.78,217,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bradford,2024,town,459010544.0,466486971.0,15.73,98.4,15.44,146,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Brentwood,2019,town,582474006.0,702593087.0,27.7,82.9,22.84,156,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Brentwood,2020,town,709762990.0,759856273.0,23.19,93.4,21.54,151,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Brentwood,2021,town,722404449.0,921291902.0,22.24,78.4,17.35,135,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Brentwood,2022,town,731776705.0,1010668987.0,22.15,72.4,15.98,156,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Brentwood,2023,town,745934892.0,1126701188.0,23.53,66.2,15.48,140,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Brentwood,2024,town,759912876.0,1229560179.0,25.17,61.8,15.47,147,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bridgewater,2019,town,350939300.0,425913059.0,9.76,82.4,8.0,15,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bridgewater,2020,town,449293300.0,469943499.0,8.38,95.6,7.98,12,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bridgewater,2021,town,454066000.0,636591869.0,8.27,71.3,5.88,14,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bridgewater,2022,town,459298800.0,647807770.0,8.26,70.9,5.84,14,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bridgewater,2023,town,465422300.0,827947258.0,8.06,56.2,4.51,7,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bridgewater,2024,town,805161500.0,833474289.0,5.4,96.6,5.2,12,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Bristol,2019,town,471534473.0,572979062.0,22.8,82.5,18.65,87,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Bristol,2020,town,558761084.0,587115377.0,20.69,95.4,19.58,112,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Bristol,2021,town,559896618.0,788413094.0,20.21,71.2,14.28,73,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Bristol,2022,town,559987704.0,954821700.0,20.99,58.8,12.3,75,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Bristol,2023,town,561884570.0,1039356258.0,22.75,54.2,12.29,74,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Bristol,2024,town,565099492.0,1160895587.0,23.62,48.8,11.49,66,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookfield,2019,town,124312043.0,120021096.0,16.7,103.6,17.26,67,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookfield,2020,town,126932883.0,134383543.0,17.18,94.4,16.18,65,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookfield,2021,town,128726821.0,157809177.0,17.72,81.5,14.41,76,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookfield,2022,town,130962075.0,191569043.0,19.23,68.3,13.11,85,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookfield,2023,town,133179707.0,212324816.0,18.26,62.7,11.42,63,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookfield,2024,town,242558320.0,243285522.0,11.16,99.7,11.11,58,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookline,2019,town,667344153.0,701697513.0,29.87,95.1,28.09,211,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookline,2020,town,678434133.0,759692265.0,27.8,89.3,24.53,198,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookline,2021,town,692791072.0,889260490.0,28.58,77.9,21.98,213,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookline,2022,town,704003866.0,1066580753.0,29.72,66.0,19.35,209,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookline,2023,town,1153540646.0,1167560037.0,20.78,98.8,20.32,214,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Brookline,2024,town,1170518417.0,1221827780.0,22.61,95.8,21.41,214,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Cambridge,2019,unincorporated,9092072.0,10406181.0,0.0,86.5,0.0,N/A,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Cambridge,2020,unincorporated,9219051.0,10591124.0,0.0,87.1,0.0,N/A,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Cambridge,2021,unincorporated,9541027.0,11389277.0,3.73,83.4,3.08,5,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Cambridge,2022,unincorporated,9366075.0,12962472.0,3.2,71.3,2.29,3,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
Cambridge,2023,unincorporated,12624531.0,11999878.0,3.53,105.7,3.68,6,2023-comparison-of-full-value-tax-rates-ranking-order.pdf
Cambridge,2024,unincorporated,12831740.0,20471581.0,2.81,60.4,1.74,2,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Campton,2019,town,436002836.0,443000880.0,23.21,98.6,22.63,152,2019-comparison-of-full-value-tax-rates-ranking-order.pdf
Campton,2020,town,442183240.0,482446907.0,24.27,91.8,22.03,161,2020-comparison-of-full-value-tax-rates-ranking-order.pdf
Campton,2021,town,449285398.0,683490641.0,24.97,65.8,16.27,108,2021-comparison-of-full-value-tax-rates-ranking-order.pdf
Campton,2022,town,452648482.0,816663684.0,25.27,55.5,13.92,104,2022-comparison-of-full-value-tax-rates-ranking-order.pdf
